iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
1,13,Product,intermediate,I,136660,384,384,384,384,46083424,413179904,48,0,0.0,0.0,0.0,"I(i_1,i_2;a_3i_1i_2) * t(i_1,i_2;a_4i_1i_2,a_3i_1i_2) -> I(i_2,i_1;a_4i_1i_2)","I(i_2,i_1;a_4i_1i_2)","I(i_1,i_2;a_3i_1i_2)","t(i_1,i_2;a_4i_1i_2,a_3i_1i_2)","I(i_2,i_1;a_4i_1i_2)","i,i,a",";;i_1,i_2","7,7,",7 × 7 × ?,,
1,13,Tensor,leaf,C,8102,,,2207664,2207664,46083424,413179904,275958,246870,-5695.615034274957,223631163.21246105,731.2730436956697,"C(i_2,i_1,μ̃_19678;a_4i_1i_2)","C(i_2,i_1,μ̃_19678;a_4i_1i_2)",,,,"i,i,μ̃,a",";;;i_1,i_2","7,7,114,",7 × 7 × 114 × ?,,
1,13,Product,intermediate,I,368459,384,2207664,432,432,46083424,413179904,54,0,0.0,0.0,0.0,"I(i_2,i_1;a_4i_1i_2) * C(i_2,i_1,μ̃_19678;a_4i_1i_2) -> I(μ̃_19678,i_1)","I(μ̃_19678,i_1)","I(i_2,i_1;a_4i_1i_2)","C(i_2,i_1,μ̃_19678;a_4i_1i_2)","I(μ̃_19678,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,13,Tensor,leaf,s,10006,,,125584,125584,46083424,413179904,15698,12996,138.52037144982427,140.242752948763,0.9820999861813638,"s(μ̃_19678,μ̃_19679)","s(μ̃_19678,μ̃_19679)",,,,"μ̃,μ̃",;,"114,114",114 × 114,103968,1.20791
1,13,Product,intermediate,I,192759,432,125584,432,432,46083424,413179904,54,0,0.0,0.0,0.0,"I(μ̃_19678,i_1) * s(μ̃_19678,μ̃_19679) -> I(μ̃_19679,i_1)","I(μ̃_19679,i_1)","I(μ̃_19678,i_1)","s(μ̃_19678,μ̃_19679)","I(μ̃_19679,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,13,Tensor,leaf,C,10230,,,481264,481264,46083424,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19679;a_1i_1)","C(i_1,μ̃_19679;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,13,Product,intermediate,I,302598,432,481264,376,376,46083424,413179904,47,0,0.0,0.0,0.0,"I(μ̃_19679,i_1) * C(i_1,μ̃_19679;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(μ̃_19679,i_1)","C(i_1,μ̃_19679;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,13,Constant,constant,_const,1057,,,8,8,46083424,413179904,1,,,,,-2,-2,,,,,,,scalar,8,1
1,13,Product,residual,R,59538,376,8,376,376,46083424,413179904,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * -2 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),-2,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,13,Permute,residual,R,49939,,,376,376,46083424,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,14,Tensor,leaf,C,8104,,,2207664,2207664,46083424,413179904,275958,246870,-5695.615034274957,223631163.21246105,731.2730436956697,"C(i_3,i_1,μ̃_19618;a_3i_1i_3)","C(i_3,i_1,μ̃_19618;a_3i_1i_3)",,,,"i,i,μ̃,a",";;;i_1,i_3","7,7,114,",7 × 7 × 114 × ?,,
1,14,Product,intermediate,I,329531,432,2207664,384,384,46083424,413179904,48,0,0.0,0.0,0.0,"I(i_3,μ̃_19618) * C(i_3,i_1,μ̃_19618;a_3i_1i_3) -> I(i_1,i_3;a_3i_1i_3)","I(i_1,i_3;a_3i_1i_3)","I(i_3,μ̃_19618)","C(i_3,i_1,μ̃_19618;a_3i_1i_3)","I(i_1,i_3;a_3i_1i_3)","i,i,a",";;i_1,i_3","7,7,",7 × 7 × ?,,
