iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
2,31,Product,residual,R,110883,384,8,384,384,403323328,1345941504,48,,,,,"I(i_2,i_1;a_2i_1i_2,a_1i_1i_2) * 2 -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",2,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,31,Permute,residual,R,82142,,,384,384,403323328,1345941504,48,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,32,Product,intermediate,I,228016,334432,432,432,432,403323328,1345941504,54,0,0.0,0.0,0.0,"I(i_3,i_2,i_4,μ̃_19711) * I(μ̃_19711,i_1) -> I(i_3,i_2,i_4,i_1)","I(i_3,i_2,i_4,i_1)","I(i_3,i_2,i_4,μ̃_19711)","I(μ̃_19711,i_1)","I(i_3,i_2,i_4,i_1)","i,i,i,i",;;;,"7,7,7,7",7 × 7 × 7 × 7,19208,0.0224906
2,32,Product,intermediate,I,333815,432,400,400,400,403323328,1345941504,50,,,,,"I(i_3,i_2,i_4,i_1) * I(i_2,i_1,i_4;a_1i_1i_2) -> I(i_3,i_2,i_1;a_1i_1i_2)","I(i_3,i_2,i_1;a_1i_1i_2)","I(i_3,i_2,i_4,i_1)","I(i_2,i_1,i_4;a_1i_1i_2)","I(i_3,i_2,i_1;a_1i_1i_2)","i,i,i,a",";;;i_1,i_2","7,7,7,",7 × 7 × 7 × ?,,
2,32,Product,intermediate,I,313232,400,400,384,384,403323328,1345941504,48,,,,,"I(i_3,i_2,i_1;a_1i_1i_2) * I(i_2,i_1,i_3;a_2i_1i_2) -> I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_3,i_2,i_1;a_1i_1i_2)","I(i_2,i_1,i_3;a_2i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,32,Constant,constant,_const,1332,,,8,8,403323328,1345941504,1,,,,,2,2,,,,,,,scalar,8,1
2,32,Product,residual,R,72228,384,8,384,384,403323328,1345941504,48,,,,,"I(i_2,i_1;a_2i_1i_2,a_1i_1i_2) * 2 -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",2,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,32,Permute,residual,R,69532,,,384,384,403323328,1345941504,48,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,33,Tensor,leaf,C,14271,,,2207664,2207664,403323328,1345941504,275958,,,,,"C(i_4,i_3,μ̃_19902;a_5i_3i_4)","C(i_4,i_3,μ̃_19902;a_5i_3i_4)",,,,"i,i,μ̃,a",";;;i_3,i_4","7,7,114,",7 × 7 × 114 × ?,,
2,33,Tensor,leaf,t,1494,,,792440,792440,403323328,1345941504,99055,,,,,"t(i_4,i_3;a_5i_3i_4,a_4i_3i_4)","t(i_4,i_3;a_5i_3i_4,a_4i_3i_4)",,,,"i,i,a,a",";;i_3,i_4;i_3,i_4","7,7,,",7 × 7 × ? × ?,,
